,Segment>>,Consumer,Unnamed: 2,Unnamed: 3,Unnamed: 4,Consumer Total,Corporate,Unnamed: 7,Unnamed: 8,Unnamed: 9,Corporate Total,Home Office,Unnamed: 12,Unnamed: 13,Unnamed: 14,Home Office Total
43,CA-2011-117345,,,,,,,,,202.89600000000002,202.89600000000002,,,,,
44,CA-2011-117639,,,,,,,,,3333.9000000000005,3333.9000000000005,,,,,
45,CA-2011-120432,,,,,,,,25.5,,25.5,,,,,
46,CA-2011-120670,,,,,,,,,,,,,,799.9200000000001,799.9200000000001
47,CA-2011-120768,,,1979.89,,1979.89,,,,,,,,,,
48,CA-2011-120950,,,,43.68,43.68,,,,,,,,,,
49,CA-2011-121286,,,,,,,,66.61600000000001,,66.61600000000001,,,,,
50,CA-2011-122217,,,,,,,,,,,,,,111.15,111.15
51,CA-2011-123400,,,,199.29600000000002,199.29600000000002,,,,,,,,,,
52,CA-2011-123925,,,40.05,,40.05,,,,,,,,,,
53,CA-2011-124023,8.96,,,,8.96,,,,,,,,,,
54,CA-2011-124618,,,479.98400000000004,,479.98400000000004,,,,,,,,,,
55,CA-2011-124688,,,,,,1812.01,,,,1812.01,,,,,
56,CA-2011-125136,,,,,,,,,106.944,106.944,,,,,
57,CA-2011-125682,,,,,,9.96,,,,9.96,,,,,
58,CA-2011-127299,,,,2692.329,2692.329,,,,,,,,,,
59,CA-2011-127488,,,4.608,,4.608,,,,,,,,,,
60,CA-2011-127614,,,,1508.13,1508.13,,,,,,,,,,
61,CA-2011-128839,,,,254.96999999999997,254.96999999999997,,,,,,,,,,
62,CA-2011-128846,,,,,,,,,752.92,752.92,,,,,
63,CA-2011-129091,,,,,,,,,1022.61,1022.61,,,,,
64,CA-2011-129819,,,,,,,,12.39,,12.39,,,,,
65,CA-2011-130155,34.2,,,,34.2,,,,,,,,,,
66,CA-2011-130428,,1142.1649999999997,,,1142.1649999999997,,,,,,,,,,
67,CA-2011-130918,,,7.6320000000000014,,7.6320000000000014,,,,,,,,,,
68,CA-2011-131527,,,,95.968,95.968,,,,,,,,,,
69,CA-2011-131541,,193.152,,,193.152,,,,,,,,,,
70,CA-2011-131905,,,,,,321.56,,,,321.56,,,,,
71,CA-2011-132010,,,,,,,,,,,389.74,,,,389.74
72,CA-2011-132612,,,1441.3,,1441.3,,,,,,,,,,
73,CA-2011-133634,,,,,,,,,,,,,,47.79,47.79
74,CA-2011-134551,,,,732.312,732.312,,,,,,,,,,
75,CA-2011-134621,,,,,,,,,,,,,,18.240000000000002,18.240000000000002
76,CA-2011-136336,,,,,,,,,828.8399999999999,828.8399999999999,,,,,
77,CA-2011-136567,,,,,,,,,,,2884.37,,,,2884.37
78,CA-2011-136861,31.983999999999998,,,,31.983999999999998,,,,,,,,,,
79,CA-2011-137911,,,,,,,,,88.768,88.768,,,,,
80,CA-2011-138296,,,,24.56,24.56,,,,,,,,,,
81,CA-2011-138527,,,,,,,,,192.424,192.424,,,,,
82,CA-2011-138709,,,,37.44,37.44,,,,,,,,,,
83,CA-2011-140165,,,,,,,,,,,405.456,,,,405.456
84,CA-2011-140886,,,,69.21600000000001,69.21600000000001,,,,,,,,,,
85,CA-2011-142727,,,69.9,,69.9,,,,,,,,,,
86,CA-2011-142951,,23.472,,,23.472,,,,,,,,,,
87,CA-2011-143182,,,,15.384,15.384,,,,,,,,,,
88,CA-2011-143840,,,,180.93,180.93,,,,,,,,,,
89,CA-2011-145317,,,,,,,,,,,,,,23661.228,23661.228
90,CA-2011-145576,,,26.128,,26.128,,,,,,,,,,
91,CA-2011-146731,,,,147.34400000000002,147.34400000000002,,,,,,,,,,
92,CA-2011-146885,,,,,,,,,13.620000000000001,13.620000000000001,,,,,
93,CA-2011-148285,,,,,,,,,,,,,,22.320000000000004,22.320000000000004
94,CA-2011-148425,,,,,,,,,6.642000000000001,6.642000000000001,,,,,
95,CA-2011-149020,,,,,,,,,54.83,54.83,,,,,
96,CA-2011-149538,,,,,,,,,364.92999999999995,364.92999999999995,,,,,
97,CA-2011-149958,,,,370.78200000000004,370.78200000000004,,,,,,,,,,
98,CA-2011-151953,,,,,,,,,2.8160000000000003,2.8160000000000003,,,,,
99,CA-2011-151967,,,,,,,,,129.92,129.92,,,,,
100,CA-2011-152254,,310.688,,,310.688,,,,,,,,,,
101,CA-2011-152268,,,,1793.98,1793.98,,,,,,,,,,
102,CA-2011-152562,,,,,,,,,75.16,75.16,,,,,
103,CA-2011-152849,,,,,,,,,4.368,4.368,,,,,
104,CA-2011-153087,,,,,,,,,521.92,521.92,,,,,
105,CA-2011-153913,,,,,,,,1015.8160000000001,,1015.8160000000001,,,,,
106,CA-2011-153927,286.65000000000003,,,,286.65000000000003,,,,,,,,,,
107,CA-2011-154158,,,619.8480000000002,,619.8480000000002,,,,,,,,,,
108,CA-2011-155208,,,,,,,,,39.072,39.072,,,,,
109,CA-2011-155390,,,,42.208,42.208,,,,,,,,,,
110,CA-2011-155852,,,19.456000000000003,,19.456000000000003,,,,,,,,,,
111,CA-2011-156006,,,47.79,,47.79,,,,,,,,,,
112,CA-2011-156244,,,,,,,,,,,,,,457.744,457.744
113,CA-2011-156790,,,155.45600000000002,,155.45600000000002,,,,,,,,,,
114,CA-2011-157609,,,,,,,,,,,,,471.92,,471.92
115,CA-2011-157784,514.0300000000001,,,,514.0300000000001,,,,,,,,,,
116,CA-2011-158274,,,,,,,,,,,,,682.91,,682.91
117,CA-2011-158470,,,129.33,,129.33,,,,,,,,,,
118,CA-2011-158771,,,,,,,158.70999999999998,,,158.70999999999998,,,,,
119,CA-2011-159184,,,,149.56,149.56,,,,,,,,,,
120,CA-2011-159681,,,,105.52,105.52,,,,,,,,,,
121,CA-2011-160094,1000.95,,,,1000.95,,,,,,,,,,
122,CA-2011-160276,,,,,,,,,177.68,177.68,,,,,
123,CA-2011-160773,,,,,,,,,581.1039999999999,581.1039999999999,,,,,
124,CA-2011-161634,,,,32.400000000000006,32.400000000000006,,,,,,,,,,
125,CA-2011-162775,,,,,,,,1287.26,,1287.26,,,,,
126,CA-2011-163013,,,,14.669999999999998,14.669999999999998,,,,,,,,,,
127,CA-2011-163223,,,,,,,,,3769.5600000000004,3769.5600000000004,,,,,
128,CA-2011-163293,,,,,,116.85,,,,116.85,,,,,
129,CA-2011-164315,,,,1220.67,1220.67,,,,,,,,,,
130,CA-2011-164749,9.912,,,,9.912,,,,,,,,,,
131,CA-2011-164910,,,,,,,,7.872,,7.872,,,,,
132,CA-2011-165764,,,,1395.6730000000002,1395.6730000000002,,,,,,,,,,
133,CA-2011-165806,,,,,,,,,,,,259.28999999999996,,,259.28999999999996
134,CA-2011-166051,,,,773.7,773.7,,,,,,,,,,
135,CA-2011-166457,,,40.54,,40.54,,,,,,,,,,
136,CA-2011-166730,39.128,,,,39.128,,,,,,,,,,
137,CA-2011-167199,,,,,,,,,,,,,,4374.88,4374.88
138,CA-2011-167850,,,,,,,,,193.936,193.936,,,,,
139,CA-2011-169257,,,,63.381,63.381,,,,,,,,,,
140,CA-2011-169684,,,,,,426.942,,,,426.942,,,,,
141,CA-2011-169775,,,709.0425000000001,,709.0425000000001,,,,,,,,,,
142,CA-2012-100769,,,,,,,,,,,,255.968,,,255.968
143,CA-2012-100888,,,,47.952000000000005,47.952000000000005,,,,,,,,,,
144,CA-2012-101868,,,,175.32,175.32,,,,,,,,,,
145,CA-2012-102260,,,,,,,,,,,,,,763.508,763.508
146,CA-2012-102491,,,,3747.9300000000003,3747.9300000000003,,,,,,,,,,
147,CA-2012-102582,,,,1918.79,1918.79,,,,,,,,,,
148,CA-2012-102722,106.5,,,,106.5,,,,,,,,,,
149,CA-2012-102778,18.176,,,,18.176,,,,,,,,,,
150,CA-2012-103093,,,,74.52,74.52,,,,,,,,,,
151,CA-2012-103135,,,,,,,,,,,,,,525.95,525.95
152,CA-2012-103772,,,,,,,,,,,,,,260.31,260.31
153,CA-2012-103793,,,,,,,,,74.352,74.352,,,,,
154,CA-2012-103870,,,,,,,,,284.44000000000005,284.44000000000005,,,,,
155,CA-2012-104038,,,,,,176.63,,,,176.63,,,,,
156,CA-2012-104115,,,,55.98400000000001,55.98400000000001,,,,,,,,,,
157,CA-2012-104241,,,,,,,,,192.22,192.22,,,,,
158,CA-2012-104941,,,,,,,,,976.29,976.29,,,,,
159,CA-2012-105571,,,,,,,,,1361.631,1361.631,,,,,
160,CA-2012-106187,,,,,,,,,268.4,268.4,,,,,
161,CA-2012-107678,,,,893.09,893.09,,,,,,,,,,
162,CA-2012-108119,,,,301.96,301.96,,,,,,,,,,
163,CA-2012-108259,,,,,,,,,81.135,81.135,,,,,
164,CA-2012-109386,,,750.93,,750.93,,,,,,,,,,
165,CA-2012-109470,,,,,,,,596.48,,596.48,,,,,
166,CA-2012-109708,,,,,,,,467.03999999999996,,467.03999999999996,,,,,
167,CA-2012-110247,,,,8.226,8.226,,,,,,,,,,
168,CA-2012-110345,,,4.608,,4.608,,,,,,,,,,
169,CA-2012-110947,,,,,,,,,,,,,,113.10000000000001,113.10000000000001
170,CA-2012-111199,,,,115.296,115.296,,,,,,,,,,
171,CA-2012-111703,,,,27.504000000000005,27.504000000000005,,,,,,,,,,
172,CA-2012-112375,,,,78.19200000000001,78.19200000000001,,,,,,,,,,
173,CA-2012-113628,,,,,,,,,792.508,792.508,,,,,
174,CA-2012-114300,,,,371.65999999999997,371.65999999999997,,,,,,,,,,
175,CA-2012-114503,,,,84.96000000000001,84.96000000000001,,,,,,,,,,
176,CA-2012-115091,,,,,,,,,,,,,,75.04,75.04
177,CA-2012-115847,,,,,,,,,,,,,61.96,,61.96
178,CA-2012-115938,,,,535.36,535.36,,,,,,,,,,
179,CA-2012-116638,,,4297.644,,4297.644,,,,,,,,,,
180,CA-2012-116750,,,,,,,,12.158000000000003,,12.158000000000003,,,,,
181,CA-2012-117828,194.32,,,,194.32,,,,,,,,,,
182,CA-2012-117884,,598.352,,,598.352,,,,,,,,,,
183,CA-2012-118444,,,,387.136,387.136,,,,,,,,,,
184,CA-2012-118843,,,,199.86,199.86,,,,,,,,,,
185,CA-2012-119480,,,,364.07,364.07,,,,,,,,,,
186,CA-2012-119592,,,,,,,,3.76,,3.76,,,,,
187,CA-2012-119634,,,,46.152,46.152,,,,,,,,,,
188,CA-2012-120516,,,,5.64,5.64,,,,,,,,,,
189,CA-2012-120621,,,,1270.379,1270.379,,,,,,,,,,
190,CA-2012-120845,,,,,,,,,22.549000000000003,22.549000000000003,,,,,
191,CA-2012-121552,,,,,,,,,19.56,19.56,,,,,
192,CA-2012-121720,,,,,,3165.744,,,,3165.744,,,,,
193,CA-2012-122168,,,,,,,,,53.28,53.28,,,,,
194,CA-2012-122266,,,,194.1395,194.1395,,,,,,,,,,
195,CA-2012-123092,,,,288.85,288.85,,,,,,,,,,
196,CA-2012-123330,,,,107.97600000000001,107.97600000000001,,,,,,,,,,
197,CA-2012-125066,,,,,,,,,62.459999999999994,62.459999999999994,,,,,
198,CA-2012-125563,,,,121.88799999999999,121.88799999999999,,,,,,,,,,
199,CA-2012-125696,,,,,,,,,,,,,,7.380000000000001,7.380000000000001
200,CA-2012-125976,,,,2026.7800000000002,2026.7800000000002,,,,,,,,,,
201,CA-2012-128027,,,269.49,,269.49,,,,,,,,,,
202,CA-2012-128083,,,,,,,,,45.976000000000006,45.976000000000006,,,,,
203,CA-2012-128139,,,,365.91,365.91,,,,,,,,,,
204,CA-2012-128958,,,,,,,,,,,,,,13.120000000000001,13.120000000000001
205,CA-2012-129098,,,,30.84,30.84,,,,,,,,,,
206,CA-2012-130218,59.480000000000004,,,,59.480000000000004,,,,,,,,,,
207,CA-2012-131422,,,,,,,,,207,207.0,,,,,
208,CA-2012-132318,182.91,,,,182.91,,,,,,,,,,
209,CA-2012-133242,,,,1046.47,1046.47,,,,,,,,,,
210,CA-2012-133396,,,,,,64.68,,,,64.68,,,,,
211,CA-2012-133977,,,,,,,,,,,,,3.444000000000001,,3.444000000000001
212,CA-2012-134257,,,498.93,,498.93,,,,,,,,,,
213,CA-2012-134719,,,,1801.632,1801.632,,,,,,,,,,
214,CA-2012-134782,,,,105.42,105.42,,,,,,,,,,
215,CA-2012-134894,,,,436.86,436.86,,,,,,,,,,
216,CA-2012-134992,,,,,,,,,,,,,80.38,,80.38
217,CA-2012-135510,,,,,,,,,,,,,,67.96,67.96
218,CA-2012-136147,,,,233.06400000000002,233.06400000000002,,,,,,,,,,
219,CA-2012-136224,,10.272000000000002,,,10.272000000000002,,,,,,,,,,
220,CA-2012-137106,,,,,,,,,79.96,79.96,,,,,
221,CA-2012-137281,,,,,,,,,6.48,6.48,,,,,
222,CA-2012-137974,2298.8999999999996,,,,2298.8999999999996,,,,,,,,,,
223,CA-2012-138457,,,,13.092000000000002,13.092000000000002,,,,,,,,,,
224,CA-2012-138625,197.72,,,,197.72,,,,,,,,,,
225,CA-2012-140718,,,,,,246.36400000000003,,,,246.36400000000003,,,,,
226,CA-2012-140830,,,,,,,,,,,,,89.36,,89.36
227,CA-2012-141145,,,,87.168,87.168,,,,,,,,,,
228,CA-2012-141327,440.144,,,,440.144,,,,,,,,,,
229,CA-2012-141565,,,,1664.132,1664.132,,,,,,,,,,
230,CA-2012-141754,,,,,,,,,,,,,,11.696,11.696
231,CA-2012-142202,,,,,,,,717.1200000000001,,717.1200000000001,,,,,
232,CA-2012-142755,,,,919.4899999999999,919.4899999999999,,,,,,,,,,
233,CA-2012-143119,,,,517.5,517.5,,,,,,,,,,
234,CA-2012-143532,,,,14.496000000000002,14.496000000000002,,,,,,,,,,
235,CA-2012-144288,,,,19.584000000000003,19.584000000000003,,,,,,,,,,
236,CA-2012-145324,,,,,,,,,,,,,,39.96,39.96
237,CA-2012-145352,,,,6412.7699999999995,6412.7699999999995,,,,,,,,,,
238,CA-2012-147011,,,,,,,,,13.632,13.632,,,,,
239,CA-2012-147102,,,,,,,,,66.36,66.36,,,,,
240,CA-2012-147529,,,,,,,,,324.10999999999996,324.10999999999996,,,,,
241,CA-2012-147879,,,,45.68,45.68,,,,,,,,,,
242,CA-2012-148705,,,,5.04,5.04,,,,,,,,,,
243,CA-2012-149300,32.985,,,,32.985,,,,,,,,,,
244,CA-2012-149342,,,,,,,,,896.31,896.31,,,,,
245,CA-2012-149734,,,,,,,,,200.98400000000004,200.98400000000004,,,,,
246,CA-2012-150308,,,,,,,,,246.168,246.168,,,,,
247,CA-2012-150560,196.62,,,,196.62,,,,,,,,,,
248,CA-2012-150749,,,5.56,,5.56,,,,,,,,,,
249,CA-2012-151547,,,,88.96000000000001,88.96000000000001,,,,,,,,,,
250,CA-2012-151624,,,,,,,,,21.36,21.36,,,,,
251,CA-2012-153038,,,,,,,,,94.68800000000002,94.68800000000002,,,,,
252,CA-2012-153325,,,58.72,,58.72,,,,,,,,,,
253,CA-2012-153535,,,,169.54399999999998,169.54399999999998,,,,,,,,,,
254,CA-2012-153549,,,,,,,,,,,,,1166.92,,1166.92
255,CA-2012-153626,,,,5.16,5.16,,,,,,,,,,
256,CA-2012-153752,,,173.94,,173.94,,,,,,,,,,
257,CA-2012-154291,,,,,,,,,457.03999999999996,457.03999999999996,,,,,
258,CA-2012-154746,,,,,,860.07,,,,860.07,,,,,
259,CA-2012-154921,,,,,,,,,186.69,186.69,,,,,
260,CA-2012-155068,,78.456,,,78.456,,,,,,,,,,
261,CA-2012-155453,,,,,,,,,4.608,4.608,,,,,
262,CA-2012-155600,,,1635.0180000000003,,1635.0180000000003,,,,,,,,,,
263,CA-2012-155635,,,,48.81,48.81,,,,,,,,,,
264,CA-2012-156328,,,,177.48000000000002,177.48000000000002,,,,,,,,,,
265,CA-2012-156734,,,,,,670.001,,,,670.001,,,,,
266,CA-2012-158148,,,,36.269999999999996,36.269999999999996,,,,,,,,,,
267,CA-2012-158323,,,,,,17.088,,,,17.088,,,,,
268,CA-2012-158421,,,,3631.96,3631.96,,,,,,,,,,
269,CA-2012-160059,,,,,,,,,,,,,,6.24,6.24
270,CA-2012-160696,,,,,,,,,7.240000000000001,7.240000000000001,,,,,
271,CA-2012-161445,,,,,,,,140.736,,140.736,,,,,
272,CA-2012-161998,,,,,,,,,277.632,277.632,,,,,
273,CA-2012-162201,,,,,,,,,937.6080000000001,937.6080000000001,,,,,
274,CA-2012-162537,,,,104.51,104.51,,,,,,,,,,
275,CA-2012-162761,,,,50.462,50.462,,,,,,,,,,
276,CA-2012-163237,,,,,,,,520.03,,520.03,,,,,
277,CA-2012-163923,,,,,,,,,,,,,,151.96,151.96
278,CA-2012-163965,,,,377.90200000000004,377.90200000000004,,,,,,,,,,
279,CA-2012-164427,,,,,,,,,239.70000000000002,239.70000000000002,,,,,
280,CA-2012-165414,47.976,,,,47.976,,,,,,,,,,
281,CA-2012-165624,,,,1142.4299999999998,1142.4299999999998,,,,,,,,,,
282,CA-2012-166604,,,,,,,,17.94,,17.94,,,,,
283,CA-2012-166975,,,,,,,,,692.472,692.472,,,,,
284,CA-2012-167696,,,,31.12,31.12,,,,,,,,,,
285,CA-2012-168004,,,,,,,,392.93999999999994,,392.93999999999994,,,,,
286,CA-2012-168459,,,,58.050000000000004,58.050000000000004,,,,,,,,,,
287,CA-2012-169572,,,,,,,,,46.62,46.62,,,,,
288,CA-2012-169677,,,,,,,,9.82,,9.82,,,,,
289,CA-2012-169733,,,9.952,,9.952,,,,,,,,,,
290,CA-2012-169740,,,,29.99,29.99,,,,,,,,,,
291,CA-2013-100307,,,,,,,,,,,,,,19.44,19.44
292,CA-2013-101378,,29,,,29.0,,,,,,,,,,
293,CA-2013-101469,,,,7.7,7.7,,,,,,,,,,
294,CA-2013-101525,,,140.52,,140.52,,,,,,,,,,
295,CA-2013-102092,1056.86,,,,1056.86,,,,,,,,,,
296,CA-2013-102162,,,,1611.01,1611.01,,,,,,,,,,
297,CA-2013-102498,73.2,,,,73.2,,,,,,,,,,
298,CA-2013-104157,,,,2503.47,2503.47,,,,,,,,,,
299,CA-2013-104276,,,,447.7830000000001,447.7830000000001,,,,,,,,,,
300,CA-2013-105256,,1363.96,,,1363.96,,,,,,,,,,
301,CA-2013-105662,,,,,,,,,,,,,,270.728,270.728
302,CA-2013-105753,,,,,,,,,,,,,,61.1,61.1
303,CA-2013-106558,,,,,,,,,316,316.0,,,,,
304,CA-2013-106894,,107.83,,,107.83,,,,,,,,,,
305,CA-2013-106950,,,,1854.2410000000002,1854.2410000000002,,,,,,,,,,
306,CA-2013-108105,,,,323.88,323.88,,,,,,,,,,
307,CA-2013-108567,,,,2.6940000000000004,2.6940000000000004,,,,,,,,,,
308,CA-2013-108616,,,,298.83,298.83,,,,,,,,,,
309,CA-2013-109344,,,,,,,,,,,,,1127.976,,1127.976
310,CA-2013-109407,,,,,,,,31.36,,31.36,,,,,
311,CA-2013-109722,,,1284.8000000000002,,1284.8000000000002,,,,,,,,,,
312,CA-2013-109743,,,,,,,,,104.712,104.712,,,,,
313,CA-2013-109911,,,,,,,,,10.96,10.96,,,,,
314,CA-2013-110254,,,,,,,,,,,,,,158.81,158.81
315,CA-2013-110492,1366.0400000000002,,,,1366.0400000000002,,,,,,,,,,
316,CA-2013-111409,,,,3,3.0,,,,,,,,,,
317,CA-2013-111605,,,,2.61,2.61,,,,,,,,,,
318,CA-2013-112102,,,,448.81,448.81,,,,,,,,,,
319,CA-2013-112277,,,,,,,,,519.68,519.68,,,,,
320,CA-2013-112676,,,,,,14.352000000000002,,,,14.352000000000002,,,,,
321,CA-2013-112697,,,,,,,,1410.0660000000003,,1410.0660000000003,,,,,
322,CA-2013-113236,,,,,,,,232.62400000000002,,232.62400000000002,,,,,
323,CA-2013-113292,,,871.8000000000001,,871.8000000000001,,,,,,,,,,
324,CA-2013-113733,,,,334.25600000000003,334.25600000000003,,,,,,,,,,
325,CA-2013-113747,,,,185.88,185.88,,,,,,,,,,
326,CA-2013-113831,,,,,,,,,4317.3,4317.3,,,,,
327,CA-2013-113845,,,,,,,,,574.056,574.056,,,,,
328,CA-2013-114713,,,,,,,,,45.584,45.584,,,,,
329,CA-2013-115504,,,,,,,,,12.96,12.96,,,,,
330,CA-2013-116232,,,,24.066,24.066,,,,,,,,,,
331,CA-2013-116764,,,,,,,,,9.216,9.216,,,,,
332,CA-2013-116918,,,36.364,,36.364,,,,,,,,,,
333,CA-2013-117604,,,,239.5,239.5,,,,,,,,,,
334,CA-2013-118073,,,,,,,,,562.2925000000001,562.2925000000001,,,,,
335,CA-2013-118178,,,,,,,,,31.086000000000006,31.086000000000006,,,,,
336,CA-2013-118514,,,,866.4,866.4,,,,,,,,,,
337,CA-2013-118626,,,,705.544,705.544,,,,,,,,,,
338,CA-2013-118934,,,,,,,,,,,,,,16.218000000000004,16.218000000000004
339,CA-2013-119074,,,,,,,,,92.69999999999999,92.69999999999999,,,,,
340,CA-2013-119515,15.552000000000003,,,,15.552000000000003,,,,,,,,,,
341,CA-2013-119823,75.88,,,,75.88,,,,,,,,,,
342,CA-2013-120873,,,290.98,,290.98,,,,,,,,,,
343,CA-2013-121020,,,,,,,,,,,,,,239.976,239.976
344,CA-2013-121958,,,,52.136,52.136,,,,,,,,,,
345,CA-2013-122518,,,,,,,,10.08,,10.08,,,,,
346,CA-2013-123176,,,31.830000000000002,,31.830000000000002,,,,,,,,,,
347,CA-2013-123414,,,,,,,,,,,,,,37.264,37.264
348,CA-2013-123533,,,,,,,,,,,,,,392.8320000000001,392.8320000000001
349,CA-2013-123617,,,,,,,,,7.434000000000001,7.434000000000001,,,,,
350,CA-2013-123946,,,,,,,,,1159.06,1159.06,,,,,
351,CA-2013-124254,,,,,,,,,191.808,191.808,,,,,
352,CA-2013-124772,191.82,,,,191.82,,,,,,,,,,
353,CA-2013-125017,,,,,,,,,132.22400000000002,132.22400000000002,,,,,
354,CA-2013-125843,125.92000000000002,,,,125.92000000000002,,,,,,,,,,
355,CA-2013-127208,,,,,,224.9,,,,224.9,,,,,
356,CA-2013-127698,,863.928,,,863.928,,,,,,,,,,
357,CA-2013-127985,,,,,,,,,,,,,7.04,,7.04
358,CA-2013-130001,,,,,,,,,36.24000000000001,36.24000000000001,,,,,
359,CA-2013-130442,34.944,,,,34.944,,,,,,,,,,
360,CA-2013-130820,,,,,,,630.024,,,630.024,,,,,
361,CA-2013-131065,,,513.52,,513.52,,,,,,,,,,
362,CA-2013-131205,,,,291.73999999999995,291.73999999999995,,,,,,,,,,
363,CA-2013-131968,,,,,,,,,,,,,,681.4320000000001,681.4320000000001
364,CA-2013-132549,,,,73.36,73.36,,,,,,,,,,
365,CA-2013-133123,,,,99.15599999999999,99.15599999999999,,,,,,,,,,
366,CA-2013-133368,,,,405.34400000000005,405.34400000000005,,,,,,,,,,
367,CA-2013-133711,,,,,,3236.41,,,,3236.41,,,,,
368,CA-2013-133872,58.400000000000006,,,,58.400000000000006,,,,,,,,,,
369,CA-2013-134208,,,,396,396.0,,,,,,,,,,
370,CA-2013-134474,,,,,,,,255.904,,255.904,,,,,
371,CA-2013-134516,,,,,,,,,115.47999999999999,115.47999999999999,,,,,
372,CA-2013-134789,,,,,,,,,,,,,,215.83999999999997,215.83999999999997
373,CA-2013-135636,,,,387.72,387.72,,,,,,,,,,
374,CA-2013-136126,,,,,,,,,,,,261.1,,,261.1
375,CA-2013-136231,,,228.58599999999998,,228.58599999999998,,,,,,,,,,
376,CA-2013-136322,,,,,,,,,,,,,,74.32000000000001,74.32000000000001
377,CA-2013-136483,,,,4.704,4.704,,,,,,,,,,
378,CA-2013-137043,,,859.14,,859.14,,,,,,,,,,
379,CA-2013-137736,,,,41.86,41.86,,,,,,,,,,
380,CA-2013-138695,,,,,,,,,452.464,452.464,,,,,
381,CA-2013-139269,,,,,,,,,,,,,,1311.9699999999998,1311.9699999999998
382,CA-2013-139381,,,,233.48,233.48,,,,,,,,,,
383,CA-2013-139689,,,,,,,,,40.896,40.896,,,,,
384,CA-2013-140543,,,191.88,,191.88,,,,,,,,,,
385,CA-2013-140571,,,,,,,,,,,,,,365.44,365.44
386,CA-2013-140641,,,,38.19000000000001,38.19000000000001,,,,,,,,,,
387,CA-2013-140928,,,,,,,,,383.438,383.438,,,,,
388,CA-2013-140977,,,,,,,,,,,,,91.475,,91.475
389,CA-2013-141180,,,7.764000000000001,,7.764000000000001,,,,,,,,,,
390,CA-2013-142097,,,,,,,,,342.76,342.76,,,,,
391,CA-2013-142370,,,,254.99,254.99,,,,,,,,,,
